21/07/2025 10:40:06 6585 Peels
21/07/2025 10:40:13 6541 Peels
21/07/2025 10:40:19 6097 Peels
21/07/2025 10:40:25 5043 Peels
21/07/2025 10:40:29 3258 Peels
21/07/2025 10:40:31 2186 Peels
21/07/2025 10:40:34 2149 Peels
21/07/2025 10:40:36 2108 Peels
21/07/2025 10:40:39 2532 Peels
21/07/2025 10:40:41 2000 Peels
21/07/2025 10:40:43 1519 Peels
21/07/2025 10:40:46 2572 Peels
21/07/2025 10:40:49 2820 Peels
21/07/2025 10:40:52 3134 Peels
21/07/2025 10:40:54 1938 Peels
21/07/2025 10:41:02 7010 Peels
21/07/2025 10:41:32 6077 Peels
21/07/2025 10:41:37 5574 Peels
21/07/2025 10:41:42 3958 Peels
21/07/2025 10:41:46 3855 Peels
21/07/2025 10:41:49 2420 Peels
21/07/2025 10:41:51 1994 Peels
21/07/2025 10:41:54 2023 Peels
21/07/2025 10:41:56 1925 Peels
21/07/2025 10:49:53 6114 Peels
21/07/2025 10:49:59 5969 Peels
21/07/2025 10:50:03 3283 Peels
21/07/2025 10:50:05 1464 Peels
21/07/2025 10:50:07 2442 Peels
21/07/2025 10:50:10 2119 Peels
21/07/2025 10:50:13 2719 Peels
21/07/2025 10:50:17 4271 Peels
21/07/2025 10:52:20 8282 Peels
21/07/2025 10:52:27 6137 Peels
21/07/2025 10:52:31 2830 Peels
21/07/2025 10:52:33 2181 Peels
21/07/2025 10:52:36 2969 Peels
21/07/2025 10:52:39 2053 Peels
21/07/2025 10:52:40 1604 Peels
21/07/2025 10:52:45 4008 Peels
21/07/2025 10:53:47 6562 Peels
21/07/2025 10:53:52 5188 Peels
21/07/2025 10:53:56 2928 Peels
21/07/2025 10:53:59 2162 Peels
21/07/2025 10:54:02 3367 Peels
21/07/2025 10:54:05 2011 Peels
21/07/2025 10:54:08 3342 Peels
21/07/2025 10:54:13 3817 Peels
21/07/2025 11:02:03 3157 Peels
21/07/2025 11:02:07 2875 Peels
21/07/2025 11:02:09 2055 Peels
21/07/2025 11:02:12 2625 Peels
21/07/2025 11:02:14 2076 Peels
21/07/2025 11:42:50 1321 Fractions
21/07/2025 11:42:53 3974 Peels
21/07/2025 11:42:53 99 Fractions
21/07/2025 11:42:57 3891 Peels
21/07/2025 11:42:59 361 Fractions
21/07/2025 11:43:00 2500 Peels
21/07/2025 11:43:01 87 Fractions
21/07/2025 11:43:03 1952 Peels
21/07/2025 11:43:03 58 Fractions
21/07/2025 11:43:06 2732 Peels
21/07/2025 11:43:06 82 Fractions
21/07/2025 11:43:09 2571 Peels
21/07/2025 11:43:09 80 Fractions
21/07/2025 11:43:12 2794 Peels
21/07/2025 11:43:12 88 Fractions
21/07/2025 11:43:16 3456 Peels
21/07/2025 14:59:07 5.105664 5554 Peels
21/07/2025 14:59:10 2.714613 3151 Peels
21/07/2025 14:59:16 4.519527 4988 Peels
21/07/2025 14:59:20 3.903919 4345 Peels
21/07/2025 14:59:24 2.874662 3281 Peels
21/07/2025 14:59:26 1.10882 1527 Peels
21/07/2025 14:59:28 1.498919 1933 Peels
21/07/2025 14:59:31 2.019428 2470 Peels
21/07/2025 14:59:33 1.776505 2213 Peels
21/07/2025 14:59:35 1.611731 2016 Peels
21/07/2025 14:59:38 1.650632 2077 Peels
21/07/2025 14:59:41 2.183423 2672 Peels
21/07/2025 14:59:44 2.640044 3074 Peels
21/07/2025 14:59:47 2.076188 2505 Peels
21/07/2025 14:59:52 4.533416 4973 Peels
21/07/2025 14:59:58 5.750211 6175 Peels
21/07/2025 15:14:13 0.99598 2610 Fractions
21/07/2025 15:14:13 2.384407 2834 Peels
21/07/2025 15:14:15 1.155727 1557 Fractions
21/07/2025 15:14:18 2.963614 4433 Peels
21/07/2025 15:14:21 2.103296 2561 Peels
21/07/2025 15:14:21 0.946666 2648 Fractions
21/07/2025 15:14:23 0.624764 1085 Peels
21/07/2025 15:14:24 0.6767457 2041 Fractions
21/07/2025 15:14:25 1.10594 1511 Fractions
21/07/2025 15:14:27 1.634734 3010 Peels
21/07/2025 15:14:29 1.4794 1881 Fractions
21/07/2025 15:14:30 1.310779 2816 Peels
21/07/2025 15:14:33 2.391797 2772 Peels
21/07/2025 15:14:39 4.941983 5371 Peels
21/07/2025 15:15:06 5.447896 5898 Peels
21/07/2025 15:15:14 4.953889 5408 Peels
21/07/2025 15:15:20 5.416905 5843 Peels
21/07/2025 15:15:26 5.057686 5498 Peels
21/07/2025 15:15:30 3.272658 3713 Peels
21/07/2025 15:15:33 2.610205 3085 Peels
21/07/2025 15:15:35 1.243108 1645 Peels
21/07/2025 15:15:37 1.3086 1728 Peels
21/07/2025 15:15:40 2.031863 2468 Peels
21/07/2025 15:15:42 2.148207 2607 Peels
21/07/2025 15:15:45 1.678842 2085 Peels
21/07/2025 15:15:47 1.624777 2067 Peels
21/07/2025 15:15:49 1.069471 1544 Peels
21/07/2025 15:15:52 2.6392 3062 Peels
21/07/2025 15:15:56 3.187697 3665 Peels
21/07/2025 15:16:01 3.828008 4313 Peels
21/07/2025 15:16:09 7.701705 8219 Peels
21/07/2025 15:40:17 2.130656 2602 Peels
21/07/2025 15:40:19 2.08373 2493 Peels
21/07/2025 15:40:22 1.689998 2131 Peels
21/07/2025 15:40:24 2.091595 2522 Peels
21/07/2025 15:41:51 0.899678 1333 Fractions
21/07/2025 15:41:54 2.412581 4037 Peels
21/07/2025 15:41:58 2.816716 3255 Peels
